	Sample_42895_adtrim_clean_qtrim_fwd_vs_16S.blastn.postblast.aln_len_filter	Sample_42895_adtrim_clean_qtrim_fwd_vs_mcy.blastn.postblast.aln_len_filter	Sample_42895_adtrim_clean_qtrim_rev_vs_16S.blastn.postblast.aln_len_filter	Sample_42895_adtrim_clean_qtrim_rev_vs_mcy.blastn.postblast.aln_len_filter	Sample_42896_adtrim_clean_qtrim_fwd_vs_16S.blastn.postblast.aln_len_filter	Sample_42896_adtrim_clean_qtrim_fwd_vs_mcy.blastn.postblast.aln_len_filter	Sample_42896_adtrim_clean_qtrim_rev_vs_16S.blastn.postblast.aln_len_filter	Sample_42896_adtrim_clean_qtrim_rev_vs_mcy.blastn.postblast.aln_len_filter	Sample_49615_adtrim_clean_qtrim_fwd_vs_16S.blastn.postblast.aln_len_filter	Sample_49615_adtrim_clean_qtrim_fwd_vs_mcy.blastn.postblast.aln_len_filter	Sample_49615_adtrim_clean_qtrim_rev_vs_16S.blastn.postblast.aln_len_filter	Sample_49615_adtrim_clean_qtrim_rev_vs_mcy.blastn.postblast.aln_len_filter	Sample_49622_adtrim_clean_qtrim_fwd_vs_16S.blastn.postblast.aln_len_filter	Sample_49622_adtrim_clean_qtrim_fwd_vs_mcy.blastn.postblast.aln_len_filter	Sample_49622_adtrim_clean_qtrim_rev_vs_16S.blastn.postblast.aln_len_filter	Sample_49622_adtrim_clean_qtrim_rev_vs_mcy.blastn.postblast.aln_len_filter	Sample_49625_adtrim_clean_qtrim_fwd_vs_16S.blastn.postblast.aln_len_filter	Sample_49625_adtrim_clean_qtrim_fwd_vs_mcy.blastn.postblast.aln_len_filter	Sample_49625_adtrim_clean_qtrim_rev_vs_16S.blastn.postblast.aln_len_filter	Sample_49625_adtrim_clean_qtrim_rev_vs_mcy.blastn.postblast.aln_len_filter	Sample_49629_adtrim_clean_qtrim_fwd_vs_16S.blastn.postblast.aln_len_filter	Sample_49629_adtrim_clean_qtrim_fwd_vs_mcy.blastn.postblast.aln_len_filter	Sample_49629_adtrim_clean_qtrim_rev_vs_16S.blastn.postblast.aln_len_filter	Sample_49629_adtrim_clean_qtrim_rev_vs_mcy.blastn.postblast.aln_len_filter	Sample_49633_adtrim_clean_qtrim_fwd_vs_16S.blastn.postblast.aln_len_filter	Sample_49633_adtrim_clean_qtrim_fwd_vs_mcy.blastn.postblast.aln_len_filter	Sample_49633_adtrim_clean_qtrim_rev_vs_16S.blastn.postblast.aln_len_filter	Sample_49633_adtrim_clean_qtrim_rev_vs_mcy.blastn.postblast.aln_len_filter	Sample_49636_adtrim_clean_qtrim_fwd_vs_16S.blastn.postblast.aln_len_filter	Sample_49636_adtrim_clean_qtrim_fwd_vs_mcy.blastn.postblast.aln_len_filter	Sample_49636_adtrim_clean_qtrim_rev_vs_16S.blastn.postblast.aln_len_filter	Sample_49636_adtrim_clean_qtrim_rev_vs_mcy.blastn.postblast.aln_len_filter	Sample_49637_adtrim_clean_qtrim_fwd_vs_16S.blastn.postblast.aln_len_filter	Sample_49637_adtrim_clean_qtrim_fwd_vs_mcy.blastn.postblast.aln_len_filter	Sample_49637_adtrim_clean_qtrim_rev_vs_16S.blastn.postblast.aln_len_filter	Sample_49637_adtrim_clean_qtrim_rev_vs_mcy.blastn.postblast.aln_len_filter	Sample_53598_adtrim_clean_qtrim_fwd_vs_16S.blastn.postblast.aln_len_filter	Sample_53598_adtrim_clean_qtrim_fwd_vs_mcy.blastn.postblast.aln_len_filter	Sample_53598_adtrim_clean_qtrim_rev_vs_16S.blastn.postblast.aln_len_filter	Sample_53598_adtrim_clean_qtrim_rev_vs_mcy.blastn.postblast.aln_len_filter	Sample_53599_adtrim_clean_qtrim_fwd_vs_16S.blastn.postblast.aln_len_filter	Sample_53599_adtrim_clean_qtrim_fwd_vs_mcy.blastn.postblast.aln_len_filter	Sample_53599_adtrim_clean_qtrim_rev_vs_16S.blastn.postblast.aln_len_filter	Sample_53599_adtrim_clean_qtrim_rev_vs_mcy.blastn.postblast.aln_len_filter	Sample_53600_adtrim_clean_qtrim_fwd_vs_16S.blastn.postblast.aln_len_filter	Sample_53600_adtrim_clean_qtrim_fwd_vs_mcy.blastn.postblast.aln_len_filter	Sample_53600_adtrim_clean_qtrim_rev_vs_16S.blastn.postblast.aln_len_filter	Sample_53600_adtrim_clean_qtrim_rev_vs_mcy.blastn.postblast.aln_len_filter	Sample_53601_adtrim_clean_qtrim_fwd_vs_16S.blastn.postblast.aln_len_filter	Sample_53601_adtrim_clean_qtrim_fwd_vs_mcy.blastn.postblast.aln_len_filter	Sample_53601_adtrim_clean_qtrim_rev_vs_16S.blastn.postblast.aln_len_filter	Sample_53601_adtrim_clean_qtrim_rev_vs_mcy.blastn.postblast.aln_len_filter	Sample_53602_adtrim_clean_qtrim_fwd_vs_16S.blastn.postblast.aln_len_filter	Sample_53602_adtrim_clean_qtrim_fwd_vs_mcy.blastn.postblast.aln_len_filter	Sample_53602_adtrim_clean_qtrim_rev_vs_16S.blastn.postblast.aln_len_filter	Sample_53602_adtrim_clean_qtrim_rev_vs_mcy.blastn.postblast.aln_len_filter	Sample_53603_adtrim_clean_qtrim_fwd_vs_16S.blastn.postblast.aln_len_filter	Sample_53603_adtrim_clean_qtrim_fwd_vs_mcy.blastn.postblast.aln_len_filter	Sample_53603_adtrim_clean_qtrim_rev_vs_16S.blastn.postblast.aln_len_filter	Sample_53603_adtrim_clean_qtrim_rev_vs_mcy.blastn.postblast.aln_len_filter
Cyanobium	4	0	3	0	1	0	0	0	11	0	11	0	1	0	1	0	3	0	6	0	6	0	4	0	11	0	13	0	0	0	0	0	0	0	0	0	9	0	24	0	29	0	23	0	11	0	10	0	14	0	9	0	23	0	19	0	4	0	4	0
Cyanothece	0	342	0	261	0	70633	0	68035	0	19162	0	18312	0	937	0	831	0	14082	0	13581	0	6525	0	6261	0	1194	0	1262	0	2858	0	2643	0	1142	0	1107	0	880	0	806	0	1958	0	1862	0	5025	0	4729	0	1956	0	1700	0	3446	0	3348	0	11694	0	11547
Cylindrospermopsis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Dolichospermum	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	22	0	17	0	13	0	10	0	7	0	6	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	0	10	0	0	0	0	0	2	0	7	0	0	0	0	0
Fischerella	0	0	0	0	0	324	0	241	0	151	0	168	0	13	0	15	0	417	0	375	0	187	0	181	0	36	0	28	0	14	0	18	0	10	0	11	0	2	0	0	0	10	0	6	0	42	0	13	0	8	0	9	0	20	0	18	0	72	0	50
Fremyella	0	85	0	76	0	2510	0	2476	0	428	0	434	0	57	0	51	0	1230	0	1207	0	698	0	636	0	90	0	76	0	64	0	54	0	50	0	40	0	21	0	33	0	102	0	89	0	365	0	328	0	123	0	114	0	382	0	436	0	876	0	838
Gleocapsa	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0
Gloeocapsa	0	164	0	153	0	2462	0	2447	0	618	0	593	0	44	0	45	0	1104	0	994	0	341	0	383	0	259	0	267	0	231	0	195	0	608	0	606	0	404	0	375	0	414	0	333	0	257	0	245	0	1166	0	1187	0	327	0	313	0	418	0	416
Gloeotrichia	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Legionella	0	248	0	239	0	1130	0	1045	0	243	0	233	0	43	0	43	0	478	0	416	0	203	0	210	0	165	0	148	0	1113	0	1049	0	74	0	74	0	253	0	289	0	465	0	383	0	876	0	807	0	282	0	248	0	135	0	119	0	297	0	358
Leptococcus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Leptolyngbya	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	4	0
Leptolyngbyaceae	2	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Lysinibacillus	0	34	0	34	0	143	0	138	0	31	0	19	0	8	0	2	0	39	0	27	0	25	0	13	0	13	0	11	0	39	0	30	0	5	0	7	0	47	0	20	0	35	0	27	0	50	0	64	0	18	0	20	0	4	0	14	0	32	0	9
Microcystaceae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Microcystis	10	0	4	0	7615	0	7306	0	1457	0	1377	0	113	0	117	0	1859	0	1795	0	864	0	769	0	104	0	91	0	322	0	305	0	100	0	93	0	148	0	180	0	338	0	361	0	1023	0	987	0	268	0	257	0	701	0	812	0	3168	0	3090	0
Microcystis_McyA	0	148	0	60	0	141508	0	138400	0	59007	0	58251	0	1989	0	1942	0	19817	0	19673	0	7111	0	7034	0	1493	0	1485	0	300	0	297	0	204	0	212	0	953	0	939	0	1722	0	1721	0	5116	0	5042	0	1379	0	1407	0	2262	0	2243	0	5243	0	5207
Microcystis_McyB	0	122	0	51	0	108909	0	107275	0	54466	0	53707	0	1936	0	1928	0	36594	0	36236	0	15930	0	15940	0	2019	0	1986	0	890	0	888	0	532	0	510	0	626	0	603	0	1101	0	1088	0	4391	0	4358	0	1356	0	1279	0	3877	0	3833	0	9204	0	9262
Microcystis_McyC	0	55	0	23	0	61657	0	60318	0	32832	0	32433	0	1208	0	1195	0	20727	0	20504	0	8628	0	8550	0	1197	0	1187	0	516	0	512	0	346	0	351	0	247	0	243	0	474	0	489	0	1957	0	1916	0	580	0	607	0	1767	0	1753	0	4214	0	4185
Microcystis_McyD	0	264	0	109	0	199850	0	196140	0	105789	0	104541	0	2649	0	2614	0	13404	0	13271	0	2002	0	2007	0	2048	0	1999	0	18	0	15	0	3	0	1	0	1134	0	1140	0	1921	0	1908	0	4744	0	4691	0	1449	0	1436	0	341	0	334	0	283	0	276
Microcystis_McyE	0	207	0	81	0	176007	0	172557	0	103869	0	102653	0	2323	0	2309	0	12011	0	11877	0	1795	0	1772	0	1942	0	1896	0	11	0	11	0	1	0	1	0	1043	0	1018	0	1662	0	1628	0	4563	0	4534	0	1330	0	1309	0	284	0	283	0	202	0	198
Microcystis_McyF	0	13	0	6	0	11492	0	11272	0	7988	0	7675	0	170	0	142	0	846	0	826	0	128	0	128	0	145	0	147	0	0	0	1	0	0	0	0	0	53	0	53	0	74	0	67	0	172	0	169	0	87	0	76	0	16	0	17	0	2	0	3
Microcystis_McyG	0	146	0	71	0	132789	0	130493	0	69140	0	68354	0	1826	0	1820	0	9103	0	9089	0	1321	0	1306	0	1458	0	1453	0	9	0	8	0	2	0	0	0	659	0	656	0	1027	0	1016	0	2878	0	2839	0	911	0	909	0	218	0	220	0	135	0	132
Microcystis_McyH	0	33	0	19	0	29162	0	28561	0	16425	0	16350	0	404	0	412	0	2216	0	2199	0	339	0	336	0	320	0	311	0	3	0	4	0	0	0	0	0	97	0	97	0	190	0	196	0	512	0	525	0	117	0	120	0	32	0	34	0	24	0	30
Microcystis_McyI	0	20	0	6	0	16321	0	16016	0	9289	0	9204	0	235	0	202	0	1115	0	1081	0	139	0	149	0	161	0	159	0	1	0	1	0	0	0	1	0	134	0	131	0	97	0	100	0	326	0	321	0	101	0	99	0	7	0	7	0	24	0	23
Microcystis_McyJ	0	15	0	13	0	14333	0	14115	0	7584	0	7367	0	180	0	164	0	913	0	958	0	123	0	125	0	143	0	136	0	0	0	1	0	2	0	0	0	96	0	93	0	161	0	157	0	318	0	302	0	109	0	109	0	33	0	34	0	18	0	18
Moorea	0	135	0	90	0	3186	0	3156	0	2143	0	2156	0	116	0	95	0	1362	0	1276	0	496	0	521	0	295	0	268	0	373	0	357	0	624	0	617	0	447	0	521	0	532	0	451	0	441	0	444	0	1537	0	1558	0	369	0	402	0	820	0	739
Nodularia	0	463	0	455	0	7482	0	7380	0	1767	0	1624	0	150	0	110	0	2135	0	1941	0	609	0	622	0	2077	0	2008	0	549	0	544	0	1565	0	1461	0	966	0	939	0	909	0	927	0	680	0	556	0	2812	0	2627	0	388	0	486	0	805	0	622
Nostoc	0	658	0	541	0	9896	0	9577	0	2958	0	2912	0	163	0	171	0	3312	0	3180	0	914	0	889	0	1143	0	1048	0	1241	0	1183	0	1147	0	1097	0	1157	0	1182	0	1122	0	1315	0	1012	0	911	0	3480	0	3484	0	740	0	635	0	1249	0	1320
Oscillatoria	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Oxyphotobacteria_Incertae_Sedis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Phormidesmis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Phormidium	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Planktothricoides	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Planktothrix	0	572	0	389	0	355467	0	345717	0	184577	0	181204	0	5461	0	5214	0	98474	0	96685	0	40311	0	39943	0	5460	0	5324	0	29484	0	28769	0	7527	0	7409	0	1596	0	1520	0	4026	0	3982	0	13097	0	12767	0	4436	0	4145	0	8866	0	8727	0	20829	0	20713
Pleurocapsa	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Prochlorococcus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Pseudanabaena	1	0	0	0	381	0	315	0	81	0	93	0	24	0	23	0	152	0	173	0	100	0	84	0	18	0	18	0	3	0	1	0	5	0	5	0	38	0	47	0	160	0	143	0	255	0	243	0	25	0	22	0	75	0	55	0	37	0	25	0
Pseudanabaenaceae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Scytonema	0	131	0	155	0	5632	0	5707	0	1507	0	1496	0	79	0	94	0	1561	0	1541	0	629	0	633	0	265	0	223	0	344	0	307	0	207	0	211	0	198	0	280	0	421	0	385	0	772	0	717	0	576	0	631	0	629	0	499	0	1730	1	1714
Sericytochromatia	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	2	0	0	0	0	0	0	0	0	0
Sphaerospermopsis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Spirulina	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
