	Sample_42895_adtrim_clean_qtrim_fwd_vs_16S.blastn.postblast.aln_len_filter	Sample_42895_adtrim_clean_qtrim_fwd_vs_mcy.blastn.postblast.aln_len_filter	Sample_42895_adtrim_clean_qtrim_rev_vs_16S.blastn.postblast.aln_len_filter	Sample_42895_adtrim_clean_qtrim_rev_vs_mcy.blastn.postblast.aln_len_filter	Sample_42896_adtrim_clean_qtrim_fwd_vs_16S.blastn.postblast.aln_len_filter	Sample_42896_adtrim_clean_qtrim_fwd_vs_mcy.blastn.postblast.aln_len_filter	Sample_42896_adtrim_clean_qtrim_rev_vs_16S.blastn.postblast.aln_len_filter	Sample_42896_adtrim_clean_qtrim_rev_vs_mcy.blastn.postblast.aln_len_filter	Sample_49615_adtrim_clean_qtrim_fwd_vs_16S.blastn.postblast.aln_len_filter	Sample_49615_adtrim_clean_qtrim_fwd_vs_mcy.blastn.postblast.aln_len_filter	Sample_49615_adtrim_clean_qtrim_rev_vs_16S.blastn.postblast.aln_len_filter	Sample_49615_adtrim_clean_qtrim_rev_vs_mcy.blastn.postblast.aln_len_filter	Sample_49622_adtrim_clean_qtrim_fwd_vs_16S.blastn.postblast.aln_len_filter	Sample_49622_adtrim_clean_qtrim_fwd_vs_mcy.blastn.postblast.aln_len_filter	Sample_49622_adtrim_clean_qtrim_rev_vs_16S.blastn.postblast.aln_len_filter	Sample_49622_adtrim_clean_qtrim_rev_vs_mcy.blastn.postblast.aln_len_filter	Sample_49625_adtrim_clean_qtrim_fwd_vs_16S.blastn.postblast.aln_len_filter	Sample_49625_adtrim_clean_qtrim_fwd_vs_mcy.blastn.postblast.aln_len_filter	Sample_49625_adtrim_clean_qtrim_rev_vs_16S.blastn.postblast.aln_len_filter	Sample_49625_adtrim_clean_qtrim_rev_vs_mcy.blastn.postblast.aln_len_filter	Sample_49629_adtrim_clean_qtrim_fwd_vs_16S.blastn.postblast.aln_len_filter	Sample_49629_adtrim_clean_qtrim_fwd_vs_mcy.blastn.postblast.aln_len_filter	Sample_49629_adtrim_clean_qtrim_rev_vs_16S.blastn.postblast.aln_len_filter	Sample_49629_adtrim_clean_qtrim_rev_vs_mcy.blastn.postblast.aln_len_filter	Sample_49633_adtrim_clean_qtrim_fwd_vs_16S.blastn.postblast.aln_len_filter	Sample_49633_adtrim_clean_qtrim_fwd_vs_mcy.blastn.postblast.aln_len_filter	Sample_49633_adtrim_clean_qtrim_rev_vs_16S.blastn.postblast.aln_len_filter	Sample_49633_adtrim_clean_qtrim_rev_vs_mcy.blastn.postblast.aln_len_filter	Sample_49636_adtrim_clean_qtrim_fwd_vs_16S.blastn.postblast.aln_len_filter	Sample_49636_adtrim_clean_qtrim_fwd_vs_mcy.blastn.postblast.aln_len_filter	Sample_49636_adtrim_clean_qtrim_rev_vs_16S.blastn.postblast.aln_len_filter	Sample_49636_adtrim_clean_qtrim_rev_vs_mcy.blastn.postblast.aln_len_filter	Sample_49637_adtrim_clean_qtrim_fwd_vs_16S.blastn.postblast.aln_len_filter	Sample_49637_adtrim_clean_qtrim_fwd_vs_mcy.blastn.postblast.aln_len_filter	Sample_49637_adtrim_clean_qtrim_rev_vs_16S.blastn.postblast.aln_len_filter	Sample_49637_adtrim_clean_qtrim_rev_vs_mcy.blastn.postblast.aln_len_filter	Sample_53598_adtrim_clean_qtrim_fwd_vs_16S.blastn.postblast.aln_len_filter	Sample_53598_adtrim_clean_qtrim_fwd_vs_mcy.blastn.postblast.aln_len_filter	Sample_53598_adtrim_clean_qtrim_rev_vs_16S.blastn.postblast.aln_len_filter	Sample_53598_adtrim_clean_qtrim_rev_vs_mcy.blastn.postblast.aln_len_filter	Sample_53599_adtrim_clean_qtrim_fwd_vs_16S.blastn.postblast.aln_len_filter	Sample_53599_adtrim_clean_qtrim_fwd_vs_mcy.blastn.postblast.aln_len_filter	Sample_53599_adtrim_clean_qtrim_rev_vs_16S.blastn.postblast.aln_len_filter	Sample_53599_adtrim_clean_qtrim_rev_vs_mcy.blastn.postblast.aln_len_filter	Sample_53600_adtrim_clean_qtrim_fwd_vs_16S.blastn.postblast.aln_len_filter	Sample_53600_adtrim_clean_qtrim_fwd_vs_mcy.blastn.postblast.aln_len_filter	Sample_53600_adtrim_clean_qtrim_rev_vs_16S.blastn.postblast.aln_len_filter	Sample_53600_adtrim_clean_qtrim_rev_vs_mcy.blastn.postblast.aln_len_filter	Sample_53601_adtrim_clean_qtrim_fwd_vs_16S.blastn.postblast.aln_len_filter	Sample_53601_adtrim_clean_qtrim_fwd_vs_mcy.blastn.postblast.aln_len_filter	Sample_53601_adtrim_clean_qtrim_rev_vs_16S.blastn.postblast.aln_len_filter	Sample_53601_adtrim_clean_qtrim_rev_vs_mcy.blastn.postblast.aln_len_filter	Sample_53602_adtrim_clean_qtrim_fwd_vs_16S.blastn.postblast.aln_len_filter	Sample_53602_adtrim_clean_qtrim_fwd_vs_mcy.blastn.postblast.aln_len_filter	Sample_53602_adtrim_clean_qtrim_rev_vs_16S.blastn.postblast.aln_len_filter	Sample_53602_adtrim_clean_qtrim_rev_vs_mcy.blastn.postblast.aln_len_filter	Sample_53603_adtrim_clean_qtrim_fwd_vs_16S.blastn.postblast.aln_len_filter	Sample_53603_adtrim_clean_qtrim_fwd_vs_mcy.blastn.postblast.aln_len_filter	Sample_53603_adtrim_clean_qtrim_rev_vs_16S.blastn.postblast.aln_len_filter	Sample_53603_adtrim_clean_qtrim_rev_vs_mcy.blastn.postblast.aln_len_filter
Cyanobium	6	0	3	0	1	0	0	0	13	0	13	0	1	0	1	0	3	0	7	0	6	0	4	0	14	0	19	0	0	0	0	0	0	0	0	0	11	0	25	0	29	0	27	0	11	0	11	0	21	0	13	0	23	0	20	0	4	0	4	0
Cyanothece	0	516	0	444	3	75453	3	72761	0	20727	0	19802	0	1021	0	908	0	15286	0	14736	0	6967	0	6668	0	1477	0	1523	0	3195	0	2966	0	1801	0	1712	0	1388	0	1316	0	2508	0	2425	0	5728	0	5370	0	3360	0	3120	0	4002	0	3838	1	13157	0	12987
Cylindrospermopsis	0	0	0	1	0	1090	0	1040	0	338	0	320	0	25	0	23	0	25	0	29	0	4	0	6	0	23	0	16	0	0	0	0	0	0	0	0	0	11	0	20	0	16	0	26	0	44	0	37	0	14	0	15	0	0	0	1	0	0	0	2
Dolichospermum	0	0	0	0	17	0	21	0	0	0	0	0	1	0	1	0	27	0	24	0	16	0	11	0	7	0	7	0	3	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	22	0	22	0	1	0	2	0	4	0	7	0	25	0	7	0
Fischerella	0	0	0	0	0	324	0	241	0	151	0	168	0	13	0	15	0	417	0	375	0	187	0	181	0	36	0	28	0	14	0	18	0	10	0	11	0	2	0	0	0	10	0	6	0	42	0	13	0	8	0	9	0	20	0	18	0	72	0	50
Fremyella	0	185	0	173	0	4237	0	4184	0	862	0	856	0	97	0	85	0	1803	0	1757	0	941	0	856	0	210	0	181	0	174	0	156	0	270	0	213	0	197	0	200	0	354	0	310	0	765	0	706	0	533	0	544	0	634	0	689	0	1574	0	1581
Gleocapsa	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	3	0	0	0	0	0	0	0	0	0
Gloeocapsa	0	248	0	247	0	3946	0	3888	0	875	0	855	0	64	0	61	0	1397	0	1249	0	409	0	459	0	374	0	362	0	301	0	265	0	741	0	728	0	589	0	519	0	555	0	512	0	379	0	365	0	1576	0	1611	0	418	0	383	0	664	0	614
Gloeotrichia	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Legionella	0	260	0	250	0	1154	0	1069	0	249	0	238	0	43	0	43	0	483	0	420	0	204	0	213	0	166	0	149	0	1115	0	1052	0	74	0	75	0	257	0	291	0	470	0	386	0	888	0	816	0	285	0	250	0	142	0	120	0	298	0	360
Leptococcus	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Leptolyngbya	0	1	0	0	0	15	0	9	0	3	0	4	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	2	0	0	0	0	0	0	0	0	0	0	0	0	2	0	4	0
Leptolyngbyaceae	2	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Lysinibacillus	0	94	0	89	0	375	0	368	0	71	0	53	0	16	0	10	0	90	0	65	0	34	0	24	0	31	0	31	0	67	0	55	0	35	0	35	0	109	0	65	0	82	0	77	0	110	0	133	0	116	0	122	0	26	0	33	0	58	0	29
Microcystaceae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Microcystis	10	0	4	0	7623	0	7311	0	1457	0	1377	0	113	0	117	0	1859	0	1795	0	864	0	769	0	104	0	91	0	322	0	305	0	100	0	93	0	148	0	180	0	338	0	361	0	1023	0	987	0	268	0	257	0	701	0	812	0	3169	0	3090	0
Microcystis_McyA	0	148	0	60	0	141511	0	138401	0	59009	0	58255	0	1990	0	1943	0	19818	0	19673	0	7111	0	7034	0	1497	0	1488	0	300	0	297	0	204	0	212	0	953	0	939	0	1722	0	1722	0	5116	0	5044	0	1379	0	1407	0	2262	0	2243	0	5243	0	5207
Microcystis_McyB	0	129	0	53	0	114276	0	112363	0	56355	0	55627	0	2034	0	2026	0	38479	0	38143	0	16805	0	16814	0	2095	0	2063	0	940	0	934	0	563	0	546	0	642	0	632	0	1153	0	1130	0	4572	0	4558	0	1402	0	1336	0	4065	0	4034	0	9716	0	9728
Microcystis_McyC	0	60	0	24	0	65058	0	63604	0	34059	0	33707	0	1256	0	1249	0	21807	0	21625	0	9131	0	9049	0	1243	0	1233	0	545	0	537	0	369	0	375	0	259	0	268	0	511	0	510	0	2085	0	2050	0	610	0	640	0	1893	0	1875	0	4534	0	4480
Microcystis_McyD	0	264	0	109	0	199850	0	196140	0	105789	0	104541	0	2649	0	2614	0	13404	0	13271	0	2002	0	2007	0	2048	0	1999	0	18	0	15	0	3	0	1	0	1134	0	1140	0	1921	0	1908	0	4744	0	4691	0	1449	0	1436	0	341	0	334	0	283	0	276
Microcystis_McyE	0	207	0	82	0	177115	0	173611	0	104211	0	102979	0	2348	0	2332	0	12036	0	11906	0	1799	0	1778	0	1965	0	1912	0	11	0	11	0	1	0	1	0	1054	0	1038	0	1678	0	1655	0	4607	0	4571	0	1344	0	1324	0	284	0	284	0	202	0	200
Microcystis_McyF	0	13	0	6	0	11492	0	11272	0	7988	0	7675	0	170	0	142	0	846	0	826	0	128	0	128	0	145	0	147	0	0	0	1	0	0	0	0	0	53	0	53	0	74	0	67	0	172	0	169	0	87	0	76	0	16	0	17	0	2	0	3
Microcystis_McyG	0	146	0	71	0	132789	0	130493	0	69140	0	68354	0	1826	0	1820	0	9103	0	9089	0	1321	0	1306	0	1458	0	1453	0	9	0	8	0	2	0	0	0	659	0	656	0	1027	0	1016	0	2878	0	2839	0	911	0	909	0	218	0	220	0	135	0	132
Microcystis_McyH	0	33	0	19	0	29162	0	28561	0	16425	0	16350	0	404	0	412	0	2216	0	2199	0	339	0	336	0	320	0	311	0	3	0	4	0	0	0	0	0	97	0	97	0	190	0	196	0	512	0	525	0	117	0	120	0	32	0	34	0	24	0	30
Microcystis_McyI	0	20	0	6	0	16321	0	16016	0	9289	0	9204	0	235	0	202	0	1115	0	1081	0	139	0	149	0	161	0	159	0	1	0	1	0	0	0	1	0	134	0	131	0	97	0	100	0	326	0	321	0	101	0	99	0	7	0	7	0	24	0	23
Microcystis_McyJ	0	15	0	13	0	14333	0	14115	0	7584	0	7367	0	180	0	164	0	913	0	958	0	123	0	125	0	143	0	136	0	0	0	1	0	2	0	0	0	96	0	93	0	161	0	157	0	318	0	302	0	109	0	109	0	33	0	34	0	18	0	18
Moorea	0	334	0	291	0	4645	0	4566	0	3003	0	2985	0	162	0	134	0	1982	0	1870	0	582	0	608	0	624	0	576	0	626	0	566	0	1321	0	1229	0	1064	0	1124	0	1114	0	1043	0	656	0	639	0	3508	0	3550	0	596	0	621	0	1058	0	1004
Nodularia	0	602	0	590	0	8568	0	8387	0	2024	0	1897	0	170	0	129	0	2423	0	2212	0	680	0	693	0	2237	0	2143	0	641	0	625	0	1762	0	1643	0	1146	0	1101	0	1064	0	1113	0	849	0	722	0	3353	0	3174	0	485	0	582	0	1045	0	859
Nostoc	0	856	0	762	1	14190	2	13738	0	3797	0	3750	0	230	0	237	0	4398	1	4193	0	1335	0	1280	0	1435	0	1303	0	1519	0	1463	0	1580	0	1492	0	1460	0	1477	0	1500	0	1684	0	1586	0	1465	0	4411	0	4388	0	1101	0	985	0	2375	0	2417
Oscillatoria	0	1	0	0	0	15	0	9	0	3	0	4	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Oxyphotobacteria_Incertae_Sedis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Phormidesmis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Phormidium	1	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	2	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	3	0	0	0	1	0	6	0	1	0	0	0	0	0	0	0	0	0
Planktothricoides	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Planktothrix	0	820	0	631	0	356924	0	347148	0	185418	0	181980	0	5519	0	5256	0	99388	0	97526	0	40541	0	40160	0	5809	0	5661	0	29746	0	29002	0	8254	0	8061	0	2245	0	2173	0	4648	0	4594	0	13318	0	12959	0	6489	0	6173	0	9094	0	8973	0	21083	0	20977
Pleurocapsa	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Prochlorococcus	1	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	2	0	2	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	3	0	0	0	1	0	6	0	4	0	0	0	0	0	0	0	0	0
Pseudanabaena	1	0	0	0	381	0	316	0	81	0	93	0	24	0	23	0	152	0	173	0	100	0	84	0	18	0	18	0	3	0	1	0	5	0	5	0	38	0	47	0	160	0	143	0	255	0	243	0	25	0	22	0	75	0	55	0	37	0	25	0
Pseudanabaenaceae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Scytonema	0	242	0	257	0	6850	0	6908	0	1746	0	1720	0	94	0	107	0	1764	0	1726	0	707	0	709	0	320	0	273	0	392	0	358	0	279	0	278	0	291	0	362	0	501	0	482	0	911	0	858	0	767	0	827	0	723	0	586	0	1950	1	1921
Sericytochromatia	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	2	0	0	0	0	0	0	0	0	0
Sphaerospermopsis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Spirulina	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
